"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-01","0.00",,"69","79","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-02","0.00",,"67","75","59"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-03","0.00",,"65","74","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-04","0.00",,"58","67","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-05","0.00",,"58","68","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-06","0.01",,"54","63","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-07","0.28",,"56","64","52"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-08","0.06",,"55","62","48"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-09","0.46",,"59","67","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-10","0.06",,"58","62","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-11","0.45",,"61","69","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-12","0.00",,"64","72","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-13","0.00",,"70","81","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-14","0.00",,"73","85","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-15","0.40",,"62","76",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-16","0.49",,"63","73","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-17","0.00",,"69","78","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-18","0.00",,"65","76","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-19","0.01",,"61","69","56"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-20","0.00",,"58","65","54"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-21","0.02",,"61","70","51"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-22","0.00",,"62","69","55"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-23","0.00",,"65","74","53"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-24","0.00",,"69","78","58"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-25","0.00",,"73","82","65"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-26","0.02",,"69","76",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-27","0.00",,"69",,"60"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-28","0.00",,"73","82","61"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-29","0.00",,"77","87","66"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-06-30","0.00",,"78","88","67"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-07-01","0.00",,"77","87","67"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-07-02","0.00",,"78","91","67"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-07-03","0.00",,"74","83","67"
